# ==============================================,,,,,,,,,
# TCC - Log de Teste de Envelhecimento,,,,,,,,,
# ==============================================,,,,,,,,,
# Data/Hora Início: 2026-01-10 11:52:13,,,,,,,,,
# ,,,,,,,,,
# PARÂMETROS PID (FIXOS):,,,,,,,,,
#   Kp = 2.780000,,,,,,,,,
#   Ki = 0.00106000,,,,,,,,,
#   Kd = 5.000000,,,,,,,,,
# ,,,,,,,,,
# MODELO FOPDT IDENTIFICADO:,,,,,,,,,
#   G(s) = 1.56 * exp(-150.6s) / (1307.2s + 1),,,,,,,,,
#   K = 1.56 °C/%,,,,,,,,,
#   θ = 150.6 s,,,,,,,,,
#   τ = 1307.2 s,,,,,,,,,
# ,,,,,,,,,
# CONFIGURAÇÃO:,,,,,,,,,
#   Taxa de Rampa: 1.0 °C/s,,,,,,,,,
#   Intervalo de Amostragem: 1000 ms,,,,,,,,,
#   Janela PWM (SSR): 5000 ms,,,,,,,,,
# ,,,,,,,,,
# LIMITES DE SEGURANÇA:,,,,,,,,,
#   Temp. Máx. Forno: 130.0 °C,,,,,,,,,
#   Temp. Máx. DUT: 130.0 °C,,,,,,,,,
#   Corrente Máx. PSU: 1.5 A,,,,,,,,,
# ==============================================,,,,,,,,,
# ,,,,,,,,,
time_sec,oven_temp_c,oven_setpoint_c,oven_output_pct,psu_voltage_v,psu_current_a,dut_temp_c,dut_slack,dut_volt,
123.999,46.57,100,100,1,0.049,37.281,60,0.993,456.837
124.999,46.68,100,100,1,0.049,37.414,60,0.994,457.837
125.999,46.68,100,100,1,0.049,36.902,59,0.993,458.837
127,46.75,100,100,1,0.049,37.567,60,0.993,459.838
128.001,46.85,100,100,1,0.049,37.281,60,0.993,460.839
128.999,46.9,100,100,1,0.049,36.636,58,0.993,461.837
130.001,46.92,100,100,1,0.049,37.557,59,0.993,462.839
131.001,47.05,100,100,1,0.05,37.291,58,0.994,463.839
131.999,47.11,100,100,1,0.05,36.912,60,0.995,464.837
133,47.25,100,100,1,0.05,37.414,59,0.994,465.838
134,47.32,100,100,1,0.05,37.148,60,0.994,466.838
134.999,47.45,100,100,1,0.049,37.404,58,0.993,467.837
135.999,47.51,100,100,1,0.049,37.148,60,0.993,468.837
136.999,47.59,100,100,1,0.049,37.414,58,0.993,469.837
138,47.69,100,100,1,0.05,37.015,58,0.993,470.838
139,47.72,100,100,1,0.049,37.68,59,0.994,471.838
139.999,47.82,100,100,1,0.049,37.547,58,0.993,472.837
140.999,47.85,100,100,1,0.049,37.158,58,0.994,473.837
141.999,48.04,100,100,1,0.049,37.527,59,0.993,474.837
142.999,47.98,100,100,1,0.05,37.158,58,0.992,475.837
143.999,48.05,100,100,1,0.049,37.527,58,0.993,476.837
144.999,48.1,100,100,1,0.05,37.015,60,0.995,477.837
146,48.23,100,100,1,0.049,36.902,59,0.993,478.838
147,48.27,100,100,1,0.049,36.38,60,0.993,479.838
148,48.39,100,100,1,0.049,37.242,59,0.992,480.838
148.999,48.45,100,100,1,0.049,37.025,59,0.993,481.837
150,48.49,100,100,1,0.049,37.281,60,0.993,482.838
151.001,48.53,100,100,1,0.049,37.537,58,0.993,483.839
152.001,48.64,100,100,1,0.049,37.025,58,0.995,484.839
152.999,48.69,100,100,1,0.049,36.902,60,0.993,485.837
