Data,Hora,Temperatura,Slack,Tensão
07/04/2025,12:58:52,103950,137,1297
07/04/2025,12:58:54,104585,135,1298
07/04/2025,12:58:56,103590,136,1296
07/04/2025,12:58:58,104634,136,1297
07/04/2025,12:59:00,103960,134,1295
07/04/2025,12:59:02,104102,136,1298
07/04/2025,12:59:04,104472,136,1295
07/04/2025,12:59:06,103713,135,1295
07/04/2025,12:59:08,104196,136,1296
07/04/2025,12:59:10,104339,136,1297
07/04/2025,12:59:12,104216,135,1295
07/04/2025,12:59:14,104225,134,1295
07/04/2025,12:59:16,104501,134,1296
07/04/2025,12:59:18,103950,134,1295
07/04/2025,12:59:20,104073,134,1296
07/04/2025,12:59:22,104206,135,1294
07/04/2025,12:59:24,104176,134,1295
07/04/2025,12:59:26,104708,134,1295
07/04/2025,12:59:28,104831,135,1296
07/04/2025,12:59:30,104954,134,1294
07/04/2025,12:59:32,104575,135,1295
07/04/2025,12:59:34,105097,134,1294
07/04/2025,12:59:36,104698,135,1294
07/04/2025,12:59:38,103969,134,1294
07/04/2025,12:59:40,104442,135,1295
07/04/2025,12:59:42,104708,135,1294
07/04/2025,12:59:44,104462,134,1294
07/04/2025,12:59:46,104698,134,1294
07/04/2025,12:59:48,105456,134,1294
07/04/2025,12:59:50,105087,135,1294
07/04/2025,12:59:52,104984,134,1292
07/04/2025,12:59:54,104954,134,1294
07/04/2025,12:59:56,104954,135,1292
07/04/2025,12:59:58,104688,134,1294
07/04/2025,13:00:00,105303,134,1294
07/04/2025,13:00:02,104801,135,1293
07/04/2025,13:00:04,105077,134,1293
07/04/2025,13:00:06,105466,134,1292
07/04/2025,13:00:08,104924,134,1293
07/04/2025,13:00:10,105712,135,1292
07/04/2025,13:00:12,105077,134,1291
07/04/2025,13:00:14,105220,134,1293
07/04/2025,13:00:16,104924,134,1293
07/04/2025,13:00:18,105067,134,1292
07/04/2025,13:00:20,105323,135,1292
07/04/2025,13:00:22,105210,134,1293
07/04/2025,13:00:24,105682,134,1294
07/04/2025,13:00:26,105313,134,1291
07/04/2025,13:00:28,105569,134,1293
07/04/2025,13:00:30,105343,134,1292
07/04/2025,13:00:32,106460,134,1291
07/04/2025,13:00:34,105805,134,1291
07/04/2025,13:00:36,105855,134,1291
07/04/2025,13:00:38,105692,134,1292
07/04/2025,13:00:40,106204,134,1292
07/04/2025,13:00:42,105323,134,1291
07/04/2025,13:00:44,106317,134,1292
07/04/2025,13:00:46,105456,134,1293
07/04/2025,13:00:48,105938,134,1289
07/04/2025,13:00:50,106194,134,1291
07/04/2025,13:00:52,105682,134,1295
07/04/2025,13:00:54,106317,132,1295
07/04/2025,13:00:56,106081,132,1294
07/04/2025,13:00:58,106686,134,1294
07/04/2025,13:01:00,106051,134,1294
07/04/2025,13:01:02,105652,134,1295
07/04/2025,13:01:04,106583,134,1295
07/04/2025,13:01:06,107198,132,1294
07/04/2025,13:01:08,106051,134,1294
07/04/2025,13:01:10,106829,132,1294
07/04/2025,13:01:12,106317,132,1294
07/04/2025,13:01:14,106297,132,1295
07/04/2025,13:01:16,106799,134,1294
07/04/2025,13:01:18,106450,132,1292
07/04/2025,13:01:20,106420,134,1292
07/04/2025,13:01:22,106041,132,1293
07/04/2025,13:01:24,106184,132,1293
07/04/2025,13:01:26,106686,134,1291
07/04/2025,13:01:28,106287,132,1291
07/04/2025,13:01:30,106799,133,1293
07/04/2025,13:01:32,106666,132,1292
07/04/2025,13:01:34,106932,132,1293
07/04/2025,13:01:36,106041,133,1291
07/04/2025,13:01:38,107444,133,1294
07/04/2025,13:01:40,106666,131,1291
07/04/2025,13:01:42,106533,131,1293
07/04/2025,13:01:44,106780,132,1293
07/04/2025,13:01:46,107169,131,1292
07/04/2025,13:01:48,107055,131,1294
07/04/2025,13:01:50,106789,133,1292
07/04/2025,13:01:52,107681,131,1294
07/04/2025,13:01:54,107026,132,1291
07/04/2025,13:01:56,107804,132,1291
07/04/2025,13:01:58,107169,132,1289
07/04/2025,13:02:00,106504,133,1291
07/04/2025,13:02:02,107548,132,1295
07/04/2025,13:02:05,107415,131,1294
07/04/2025,13:02:07,107016,132,1294
07/04/2025,13:02:09,107139,131,1295
07/04/2025,13:02:11,106903,131,1292
07/04/2025,13:02:13,106883,131,1293
07/04/2025,13:02:15,107528,131,1294
07/04/2025,13:02:17,107917,131,1294
07/04/2025,13:02:19,107907,131,1294
07/04/2025,13:02:21,108153,131,1291
07/04/2025,13:02:23,108409,131,1294
07/04/2025,13:02:25,108030,130,1293
07/04/2025,13:02:27,108173,131,1292
07/04/2025,13:02:29,107395,131,1294
07/04/2025,13:02:31,107784,131,1292
07/04/2025,13:02:33,108010,131,1292
07/04/2025,13:02:35,108050,130,1294
07/04/2025,13:02:37,108163,131,1292
07/04/2025,13:02:39,107887,131,1291
07/04/2025,13:02:41,107917,131,1294
07/04/2025,13:02:43,108286,131,1293
07/04/2025,13:02:45,107794,131,1293
07/04/2025,13:02:47,107744,131,1293
